epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.17873,4.7366,5.61866,4.1956,0,0,0,0,4.91045,4.76755,4.16639,0.00062,0.00062,0.00062
2,12.1357,4.27028,5.32131,4.07764,0,0,0,0,4.90149,4.6952,4.18414,0.00123505,0.00123505,0.00123505
3,17.9291,3.58626,4.45829,3.95245,0,0,0,0,4.7855,4.01524,4.13966,0.00182476,0.00182476,0.00182476
4,23.7801,3.11742,3.65548,3.53385,0.68632,0.20588,0.18641,0.03945,3.32752,3.21753,3.47719,0.0018812,0.0018812,0.0018812
5,29.6273,3.05302,3.58499,3.32247,0.71806,0.52452,0.59283,0.2358,2.45813,1.9872,2.98855,0.0018416,0.0018416,0.0018416
6,35.426,2.84647,2.98162,3.18099,0.86601,0.35294,0.44947,0.16558,2.85083,3.38371,3.20067,0.001802,0.001802,0.001802
7,41.1351,2.54866,2.61771,2.85224,0.60222,0.64706,0.59611,0.2459,2.39336,1.99696,2.79701,0.0017624,0.0017624,0.0017624
8,46.8064,2.27668,2.48388,2.77883,0.86611,0.73529,0.74379,0.22076,2.97139,2.1287,3.09835,0.0017228,0.0017228,0.0017228
9,52.5757,2.42184,2.34655,2.7442,0.63765,0.70588,0.5879,0.21965,2.18913,8.37777,2.63099,0.0016832,0.0016832,0.0016832
10,58.33,2.40826,2.17832,2.65109,0.69166,0.73529,0.65968,0.25353,2.18538,1.58968,2.5966,0.0016436,0.0016436,0.0016436
11,64.2859,2.42265,2.22776,2.69722,0.75991,0.79412,0.83204,0.34242,2.06982,1.29455,2.55749,0.001604,0.001604,0.001604
12,69.9488,2.27285,1.96699,2.51877,0.95174,0.67647,0.82093,0.35724,2.10673,1.32565,2.49567,0.0015644,0.0015644,0.0015644
13,75.7156,2.20385,1.82925,2.38378,0.85612,0.82353,0.8503,0.3531,2.14793,1.17873,2.46287,0.0015248,0.0015248,0.0015248
14,81.3974,2.13806,1.65881,2.40571,0.93211,0.85294,0.89886,0.29908,2.38975,1.30269,2.64332,0.0014852,0.0014852,0.0014852
15,87.0443,2.16266,1.64472,2.24572,1,0.80566,0.90223,0.41469,2.078,1.2145,2.47088,0.0014456,0.0014456,0.0014456
16,92.6184,2.18419,1.72278,2.36338,0.93371,0.88235,0.92041,0.45208,2.05241,1.11605,2.38395,0.001406,0.001406,0.001406
17,98.3309,2.18963,1.5451,2.24477,0.91337,0.93053,0.93493,0.43631,1.95024,1.15834,2.2999,0.0013664,0.0013664,0.0013664
18,104.329,2.11099,1.51817,2.23366,0.90861,0.85294,0.92613,0.46297,1.89852,1.15787,2.23534,0.0013268,0.0013268,0.0013268
19,110.321,2.15078,1.62029,2.25092,0.81314,0.85294,0.85827,0.41671,1.92856,1.21761,2.28255,0.0012872,0.0012872,0.0012872
