epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32978,4.7366,5.61866,4.1956,0,0,0,0,4.91045,4.76755,4.16639,0.00062,0.00062,0.00062
2,12.2141,4.27028,5.32131,4.07764,0,0,0,0,4.90149,4.6952,4.18414,0.00123505,0.00123505,0.00123505
3,18.2182,3.58626,4.45829,3.95245,0,0,0,0,4.7855,4.01524,4.13966,0.00182476,0.00182476,0.00182476
4,24.3658,3.11742,3.65548,3.53385,0.68632,0.20588,0.18641,0.03945,3.32752,3.21753,3.47719,0.0018812,0.0018812,0.0018812
5,30.1306,3.05302,3.58499,3.32247,0.71806,0.52452,0.59283,0.2358,2.45813,1.9872,2.98855,0.0018416,0.0018416,0.0018416
6,35.9179,2.84647,2.98162,3.18099,0.86601,0.35294,0.44947,0.16558,2.85083,3.38371,3.20067,0.001802,0.001802,0.001802
7,41.7585,2.54866,2.61771,2.85224,0.60222,0.64706,0.59611,0.2459,2.39336,1.99696,2.79701,0.0017624,0.0017624,0.0017624
8,47.5174,2.27668,2.48388,2.77883,0.86611,0.73529,0.74379,0.22076,2.97139,2.1287,3.09835,0.0017228,0.0017228,0.0017228
9,53.3879,2.42184,2.34655,2.7442,0.63765,0.70588,0.5879,0.21965,2.18913,8.37777,2.63099,0.0016832,0.0016832,0.0016832
10,59.288,2.40826,2.17832,2.65109,0.69166,0.73529,0.65968,0.25353,2.18538,1.58968,2.5966,0.0016436,0.0016436,0.0016436
11,65.0233,2.42265,2.22776,2.69722,0.75991,0.79412,0.83204,0.34242,2.06982,1.29455,2.55749,0.001604,0.001604,0.001604
12,70.7639,2.27285,1.96699,2.51877,0.95174,0.67647,0.82093,0.35724,2.10673,1.32565,2.49567,0.0015644,0.0015644,0.0015644
13,76.6237,2.20385,1.82925,2.38378,0.85612,0.82353,0.8503,0.3531,2.14793,1.17873,2.46287,0.0015248,0.0015248,0.0015248
14,82.4365,2.13806,1.65881,2.40571,0.93211,0.85294,0.89886,0.29908,2.38975,1.30269,2.64332,0.0014852,0.0014852,0.0014852
15,88.1477,2.16266,1.64472,2.24572,1,0.80566,0.90223,0.41469,2.078,1.2145,2.47088,0.0014456,0.0014456,0.0014456
16,93.9157,2.18419,1.72278,2.36338,0.93371,0.88235,0.92041,0.45208,2.05241,1.11605,2.38395,0.001406,0.001406,0.001406
17,99.7215,2.18963,1.5451,2.24477,0.91337,0.93053,0.93493,0.43631,1.95024,1.15834,2.2999,0.0013664,0.0013664,0.0013664
18,105.504,2.11099,1.51817,2.23366,0.90861,0.85294,0.92613,0.46297,1.89852,1.15787,2.23534,0.0013268,0.0013268,0.0013268
19,111.449,2.15078,1.62029,2.25092,0.81314,0.85294,0.85827,0.41671,1.92856,1.21761,2.28255,0.0012872,0.0012872,0.0012872
20,117.272,2.10497,1.53027,2.17655,1,0.93089,0.94528,0.45747,1.86352,1.17695,2.22168,0.0012476,0.0012476,0.0012476
21,122.926,2.10174,1.6118,2.21734,0.95601,0.91176,0.91617,0.42633,1.95397,1.09756,2.2248,0.001208,0.001208,0.001208
22,128.696,2.01475,1.40368,2.11528,0.95729,0.91176,0.92825,0.45062,1.88213,1.1318,2.19266,0.0011684,0.0011684,0.0011684
23,134.427,2.08669,1.45956,2.13849,0.96905,0.92114,0.94446,0.47297,1.85282,1.18184,2.16303,0.0011288,0.0011288,0.0011288
24,140.242,2.07516,1.537,2.15181,0.96878,0.91264,0.9445,0.45001,1.84686,1.14711,2.14654,0.0010892,0.0010892,0.0010892
25,146.85,1.95766,1.443,2.12725,0.94283,0.88235,0.91801,0.46149,1.80768,1.09553,2.14393,0.0010496,0.0010496,0.0010496
26,154.883,1.86993,1.37396,2.01926,0.92853,0.91176,0.92927,0.45447,1.89753,1.0981,2.129,0.00101,0.00101,0.00101
27,163.111,1.93718,1.30239,1.98752,0.96721,0.86782,0.94802,0.47142,1.8129,1.14684,2.08187,0.0009704,0.0009704,0.0009704
28,171.19,1.93203,1.38174,2.01862,0.95899,0.94118,0.94864,0.46277,1.78666,1.12518,2.07046,0.0009308,0.0009308,0.0009308
29,176.952,1.94234,1.3704,2.02634,0.99814,0.91176,0.95627,0.49374,1.72512,1.11038,2.01941,0.0008912,0.0008912,0.0008912
30,182.748,1.9428,1.35204,1.97155,0.9956,0.91176,0.94287,0.49079,1.72018,1.10944,2.0268,0.0008516,0.0008516,0.0008516
31,188.502,1.91503,1.35689,1.96211,0.97608,0.91176,0.94367,0.48278,1.71083,1.09975,2.04382,0.000812,0.000812,0.000812
32,194.138,1.93972,1.39131,2.01916,0.9393,0.91038,0.94015,0.48539,1.7798,1.16554,2.03353,0.0007724,0.0007724,0.0007724
33,199.832,1.90618,1.3322,1.97799,0.96892,0.91711,0.94362,0.49469,1.75405,1.07354,2.01683,0.0007328,0.0007328,0.0007328
34,205.659,1.8381,1.24025,1.89494,0.94411,0.88235,0.94107,0.49404,1.7618,1.17042,2.00771,0.0006932,0.0006932,0.0006932
35,211.387,1.79934,1.25411,1.91386,0.95452,0.94118,0.94364,0.52753,1.70946,1.04941,1.96466,0.0006536,0.0006536,0.0006536
36,217.239,1.75161,1.22838,1.88139,0.99012,0.94118,0.94547,0.54198,1.69289,1.05366,1.95353,0.000614,0.000614,0.000614
37,222.936,1.71841,1.18772,1.85621,0.98921,0.94118,0.94548,0.52357,1.70609,1.04471,1.94074,0.0005744,0.0005744,0.0005744
38,228.699,1.83237,1.22241,1.89561,0.99263,0.94118,0.94549,0.50664,1.70242,0.97354,1.92753,0.0005348,0.0005348,0.0005348
39,234.569,1.82499,1.21801,1.90849,0.98784,0.94118,0.94551,0.53182,1.72224,0.99016,1.93468,0.0004952,0.0004952,0.0004952
40,242.228,1.82064,1.18165,1.88163,0.98257,0.94118,0.94548,0.51914,1.76159,0.99056,1.95913,0.0004556,0.0004556,0.0004556
41,250.287,1.64601,1.266,1.94266,0.99296,0.94118,0.94545,0.5382,1.65162,0.96292,1.90788,0.000416,0.000416,0.000416
42,258.596,1.60374,1.23785,1.84797,0.99309,0.94118,0.97197,0.51828,1.69201,0.9262,1.92255,0.0003764,0.0003764,0.0003764
43,266.928,1.5482,1.24017,1.8427,0.98951,0.94118,0.94551,0.52353,1.65242,0.90758,1.93301,0.0003368,0.0003368,0.0003368
44,275.397,1.56125,1.17303,1.83498,0.9838,0.94118,0.94551,0.54549,1.61269,0.9115,1.89961,0.0002972,0.0002972,0.0002972
45,283.656,1.56143,1.17342,1.82493,0.98865,0.94118,0.9455,0.53185,1.59917,0.92714,1.88936,0.0002576,0.0002576,0.0002576
46,292.199,1.53138,1.17996,1.85768,0.98737,0.94118,0.9455,0.53537,1.58768,0.91317,1.88118,0.000218,0.000218,0.000218
47,300.509,1.53693,1.13498,1.84894,0.99433,0.94118,0.94551,0.54877,1.57534,0.90472,1.86086,0.0001784,0.0001784,0.0001784
48,308.674,1.54804,1.1503,1.78495,0.99302,0.94118,0.94552,0.54655,1.5736,0.90514,1.8591,0.0001388,0.0001388,0.0001388
49,316.792,1.54373,1.13567,1.86636,0.99161,0.94118,0.94553,0.52742,1.56705,0.89438,1.85602,9.92e-05,9.92e-05,9.92e-05
50,324.944,1.52597,1.12524,1.80786,0.99254,0.94118,0.97126,0.52252,1.56372,0.89591,1.86205,5.96e-05,5.96e-05,5.96e-05
