epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,43.8022,0.88408,1.9652,1.24552,0.63104,0.59188,0.65432,0.46716,1.69563,1.63536,1.38961,2.82082e-05,2.82082e-05,2.82082e-05
40,45.2278,0.7367,1.09484,1.08554,0.63104,0.59188,0.65432,0.46716,1.69563,1.63536,1.38961,2.84911e-05,2.84911e-05,2.84911e-05
41,46.639,1.08865,1.97481,1.47695,0.62915,0.59067,0.62851,0.42083,1.69361,1.70285,1.38922,2.87504e-05,2.87504e-05,2.87504e-05
42,48.0109,0.83493,1.18238,1.21806,0.62915,0.59067,0.62851,0.42083,1.69361,1.70285,1.38922,2.89861e-05,2.89861e-05,2.89861e-05
43,49.4348,0.72128,0.85055,1.04969,0.59178,0.50638,0.5649,0.34765,1.6783,1.73983,1.38948,2.91983e-05,2.91983e-05,2.91983e-05
44,50.802,0.83613,1.12047,1.21527,0.59178,0.50638,0.5649,0.34765,1.6783,1.73983,1.38948,2.93869e-05,2.93869e-05,2.93869e-05
45,52.2054,0.64146,0.98335,1.17151,0.60405,0.5,0.55477,0.33801,1.68814,1.78544,1.39728,2.9552e-05,2.9552e-05,2.9552e-05
46,53.5683,0.70659,0.92929,1.02861,0.60405,0.5,0.55477,0.33801,1.68814,1.78544,1.39728,2.96935e-05,2.96935e-05,2.96935e-05
47,55.0093,0.75883,0.95165,1.06256,0.6159,0.5,0.5319,0.31492,1.70384,1.83648,1.40956,2.98114e-05,2.98114e-05,2.98114e-05
48,56.3958,0.71853,0.83159,1.15725,0.6159,0.5,0.5319,0.31492,1.70384,1.83648,1.40956,2.99058e-05,2.99058e-05,2.99058e-05
49,57.7963,0.99537,1.20753,1.40571,0.79208,0.5,0.53332,0.31303,1.71793,1.86631,1.42056,2.99766e-05,2.99766e-05,2.99766e-05
50,59.2568,0.94317,1.5844,1.35762,0.79208,0.5,0.53332,0.31303,1.71793,1.86631,1.42056,3.00238e-05,3.00238e-05,3.00238e-05
51,60.7435,0.67382,0.89467,1.11651,0.80472,0.49935,0.51504,0.30685,1.71543,1.88779,1.42374,3.00475e-05,3.00475e-05,3.00475e-05
52,62.2238,0.85083,1.78683,1.41544,0.80472,0.49935,0.51504,0.30685,1.71543,1.88779,1.42374,3.00476e-05,3.00476e-05,3.00476e-05
53,63.6705,0.88056,0.84746,1.28837,0.80472,0.49935,0.51504,0.30685,1.71543,1.88779,1.42374,3.00242e-05,3.00242e-05,3.00242e-05
54,65.1849,0.83497,0.89357,1.17741,0.81427,0.41559,0.52206,0.29849,1.71073,1.94732,1.43232,2.99772e-05,2.99772e-05,2.99772e-05
55,66.6205,0.7792,0.73168,1.18906,0.81427,0.41559,0.52206,0.29849,1.71073,1.94732,1.43232,2.99066e-05,2.99066e-05,2.99066e-05
56,68.0747,0.8585,1.08975,1.28617,0.81427,0.41559,0.52206,0.29849,1.71073,1.94732,1.43232,2.98125e-05,2.98125e-05,2.98125e-05
57,69.5393,0.72022,0.81209,1.121,0.81346,0.41598,0.53031,0.30166,1.71138,1.963,1.43153,2.96948e-05,2.96948e-05,2.96948e-05
58,70.9301,0.69991,0.88066,1.09672,0.81346,0.41598,0.53031,0.30166,1.71138,1.963,1.43153,2.95535e-05,2.95535e-05,2.95535e-05
59,72.3122,0.64268,0.80449,1.0863,0.81346,0.41598,0.53031,0.30166,1.71138,1.963,1.43153,2.93887e-05,2.93887e-05,2.93887e-05
60,73.7398,0.48164,0.84059,0.94382,0.83177,0.41662,0.52398,0.30381,1.72725,1.98178,1.43403,2.92003e-05,2.92003e-05,2.92003e-05
61,75.1205,0.79425,0.81939,1.27056,0.83177,0.41662,0.52398,0.30381,1.72725,1.98178,1.43403,2.89884e-05,2.89884e-05,2.89884e-05
62,76.5291,0.86477,0.97875,1.28777,0.83177,0.41662,0.52398,0.30381,1.72725,1.98178,1.43403,2.87529e-05,2.87529e-05,2.87529e-05
63,77.9599,0.89684,0.73323,1.38074,0.83085,0.41577,0.52938,0.28772,1.71668,2.00892,1.43003,2.84938e-05,2.84938e-05,2.84938e-05
64,79.3592,0.7178,1.0437,1.12921,0.83085,0.41577,0.52938,0.28772,1.71668,2.00892,1.43003,2.82112e-05,2.82112e-05,2.82112e-05
65,80.7511,0.58648,0.686,1.07813,0.83085,0.41577,0.52938,0.28772,1.71668,2.00892,1.43003,2.7905e-05,2.7905e-05,2.7905e-05
66,82.1458,0.96108,1.21797,1.23869,0.83716,0.41531,0.53015,0.28803,1.73457,2.02226,1.44007,2.75753e-05,2.75753e-05,2.75753e-05
67,83.5125,0.87704,1.24293,1.25802,0.83716,0.41531,0.53015,0.28803,1.73457,2.02226,1.44007,2.7222e-05,2.7222e-05,2.7222e-05
68,84.9458,0.94342,1.34185,1.4119,0.83716,0.41531,0.53015,0.28803,1.73457,2.02226,1.44007,2.68451e-05,2.68451e-05,2.68451e-05
69,86.3567,0.6437,0.65823,1.02882,0.83764,0.49823,0.53146,0.28781,1.74981,2.04842,1.44366,2.64447e-05,2.64447e-05,2.64447e-05
70,87.7082,1.15023,1.14596,1.48677,0.83764,0.49823,0.53146,0.28781,1.74981,2.04842,1.44366,2.60207e-05,2.60207e-05,2.60207e-05
71,89.0418,0.76345,0.63679,1.17168,0.83764,0.49823,0.53146,0.28781,1.74981,2.04842,1.44366,2.55731e-05,2.55731e-05,2.55731e-05
72,90.4544,0.68571,1.03324,1.10517,0.85766,0.40987,0.4649,0.29832,1.7152,2.09223,1.44216,2.5102e-05,2.5102e-05,2.5102e-05
73,91.8573,0.59799,0.63435,0.95745,0.85766,0.40987,0.4649,0.29832,1.7152,2.09223,1.44216,2.46073e-05,2.46073e-05,2.46073e-05
74,93.2428,0.75511,0.87466,1.23104,0.85766,0.40987,0.4649,0.29832,1.7152,2.09223,1.44216,2.40891e-05,2.40891e-05,2.40891e-05
75,94.6926,0.87289,0.85857,1.38709,0.85412,0.40885,0.4638,0.29753,1.74084,2.12672,1.44933,2.35472e-05,2.35472e-05,2.35472e-05
76,96.1033,0.61838,0.7361,1.08247,0.85412,0.40885,0.4638,0.29753,1.74084,2.12672,1.44933,2.29819e-05,2.29819e-05,2.29819e-05
77,97.5031,0.79622,1.01431,1.21253,0.85412,0.40885,0.4638,0.29753,1.74084,2.12672,1.44933,2.23929e-05,2.23929e-05,2.23929e-05
78,98.9171,0.74875,0.84058,1.1512,0.85443,0.40894,0.42632,0.28045,1.76672,2.20181,1.48014,2.17805e-05,2.17805e-05,2.17805e-05
79,100.277,0.78431,0.77003,1.15673,0.85443,0.40894,0.42632,0.28045,1.76672,2.20181,1.48014,2.11444e-05,2.11444e-05,2.11444e-05
80,101.654,0.87831,0.74465,1.3277,0.85443,0.40894,0.42632,0.28045,1.76672,2.20181,1.48014,2.04848e-05,2.04848e-05,2.04848e-05
81,103.097,0.66411,0.58004,1.16101,0.85591,0.40891,0.42451,0.2758,1.77773,2.26587,1.51641,1.98016e-05,1.98016e-05,1.98016e-05
82,104.466,0.65989,0.6569,1.16772,0.85591,0.40891,0.42451,0.2758,1.77773,2.26587,1.51641,1.90949e-05,1.90949e-05,1.90949e-05
83,105.834,0.60788,0.96231,1.06113,0.85591,0.40891,0.42451,0.2758,1.77773,2.26587,1.51641,1.83646e-05,1.83646e-05,1.83646e-05
84,107.234,0.6249,0.7075,0.98403,0.85865,0.40933,0.42414,0.27861,1.79542,2.24866,1.52024,1.76107e-05,1.76107e-05,1.76107e-05
85,108.6,0.58628,0.60021,1.07559,0.85865,0.40933,0.42414,0.27861,1.79542,2.24866,1.52024,1.68333e-05,1.68333e-05,1.68333e-05
86,109.996,0.82148,0.99769,1.34448,0.85865,0.40933,0.42414,0.27861,1.79542,2.24866,1.52024,1.60323e-05,1.60323e-05,1.60323e-05
